 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result
Tests/Unit/neg/pargs1.hs, 0.6171, True
Tests/Unit/neg/pargs.hs, 0.6034, True
Tests/Unit/neg/PairMeasure.hs, 0.6035, True
Tests/Unit/neg/pair0.hs, 1.1350, True
Tests/Unit/neg/pair.hs, 1.1526, True
Tests/Unit/neg/NoMethodBindingError.hs, 0.6301, True
Tests/Unit/neg/NoExhaustiveGuardsError.hs, 0.6286, True
Tests/Unit/neg/nestedRecursion.hs, 0.6380, True
Tests/Unit/neg/MultipleInvariants.hs, 0.6395, True
Tests/Unit/neg/MultiParamTypeClasses.hs, 0.6318, True
Tests/Unit/neg/multi-pred-app-00.hs, 0.6381, True
Tests/Unit/neg/mr00.hs, 0.7202, True
Tests/Unit/neg/monad7.hs, 0.8047, True
Tests/Unit/neg/monad6.hs, 0.6815, True
Tests/Unit/neg/monad5.hs, 0.6950, True
Tests/Unit/neg/monad4.hs, 0.7310, True
Tests/Unit/neg/monad3.hs, 0.7056, True
Tests/Unit/neg/MergeSort.hs, 1.0191, True
